Valid,Comp,Source,RA,Dec,z,Cosmo,LDist,Type,Instrument,Line,Flux,Flux_err,Lum,Lum_err,FWHM,FWHM_err,Cont,Cont_err,LFIR,LFIR_err,LFIR_LIR,LFIR_LIR_err,LFIR_LIR_type,LIR,LIR_err,LIR_LFIR,LIR_LFIR_err,LIR_LFIR_type,Line_ref,Line_year,Line_ref_link,Cont_ref,Cont_year,Pub,Mag_min,Mag_max,Line_rf,Log_Lum,Log_Lum_me,Log_Lum_pe,
-,-,-,J2000.0,J2000.0,-,,[Mpc],-,-,-,[Jy km/s],[Jy km/s],[Lsun],[Lsun],[km/s],[km/s],[mJy],[mJy],[Lsun],[Lsun],[Lsun],[Lsun],,[Lsun],[Lsun],[Lsun],[Lsun],,-,-,-,-,-,-,-,-,[GHz],[Lsun],[Lsun],[Lsun],
X,M,ID208273,"""""","""""",1.027,,8854.536,MS,ALMA,[CI]370um,0.54,0.07,1.76E+07,2.28E+06,,,0.71,0.04,,,4.25E+11,8.00E+10,LIR,4.25E+11,8.00E+10,4.25E+11,8.00E+10,LIR,Valentino+20,2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...890...24V/abstract,Valentino+20,2020,1,1,1,809.34,7.245035971,0.06029590189,0.05293607519,
X,M,ID256703,"""""","""""",1.027,,8922.026,MS,ALMA,[CI]370um,0.87,0.09,2.88E+07,2.97E+06,,,1.16,0.05,,,7.05E+11,9.20E+10,LIR,7.05E+11,9.20E+10,7.05E+11,9.20E+10,LIR,Valentino+20,2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...890...24V/abstract,Valentino+20,2020,1,1,1,809.34,7.458756817,0.04742464993,0.04275198042,
X,C,Spiderweb-5,"""""","""""",1.095,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,0.08,0.01,5.70E+06,7.13E+05,220,15,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,6.756072198,0.05799194698,0.05115252245,
X,C,Spiderweb-3,"""""","""""",1.096,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,0.29,0.03,2.07E+07,2.14E+06,255,15,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,7.315172958,0.04742464993,0.04275198042,
X,C,Spiderweb-4,"""""","""""",1.037,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,0,0.03,0.00E+00,2.20E+06,,,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,0,0,6.342296464,
X,M,ID256703,"""""","""""",1.027,,8922.026,MS,ALMA,[CI]609um,0.53,0.12,1.07E+07,2.41E+06,,,,,,,7.05E+11,9.20E+10,LIR,7.05E+11,9.20E+10,7.05E+11,9.20E+10,LIR,Valentino+20,2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...890...24V/abstract,Valentino+20,2020,1,1,1,492.16,7.027488743,0.1114920129,0.08863748704,
X,C,Spiderweb-6,"""""","""""",1.093,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,0,0.04,0.00E+00,2.85E+06,,,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,0,0,6.455457001,
X,M,ID208273,"""""","""""",1.027,,8854.536,MS,ALMA,[CI]609um,0.69,0.16,1.37E+07,3.17E+06,,,,,,,4.25E+11,8.00E+10,LIR,4.25E+11,8.00E+10,4.25E+11,8.00E+10,LIR,Valentino+20,2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...890...24V/abstract,Valentino+20,2020,1,1,1,492.16,7.135466611,0.1145732211,0.09056983498,
X,C,Spiderweb-1,"""""","""""",1.0979,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,1.32,0.07,9.40E+07,4.98E+06,610,10,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,7.972955387,0.0236639182,0.02244086905,
X,C,Spiderweb-2,"""""","""""",1.096,"H0=71, OM=0.27, Flat",17081,SFG,ALMA,[CI]609um,0.6,0.08,4.27E+07,5.70E+06,375,20,,,,,,,,,,,,,Emonts+18,2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477L..60E/abstract,Emonts+18,2018,1,1,1,492.16,7.630926211,0.06214790675,0.05435766232,
X,M,AS2COS0011.1,"""""","""""",4.7831,Vanilla,44270.6,SMG,ALMA,[CI]609um,1.1,0.3,1.91E+08,5.20E+07,640,60,0.47,0.02,,,2.06E+13,2.50E+12,LIR,2.06E+13,2.50E+12,2.06E+13,2.50E+12,LIR,Liao+24,2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...961..226L/abstract,Liao+24,2024,1,1,1,492.16,8.280602452,0.1383026982,0.1047353505,
X,M,AS2COS0031.1,"""""","""""",3.6432,Vanilla,32072.4,SMG,ALMA,[CI]609um,1,0.2,1.13E+08,2.27E+07,400,60,0.28,0.02,,,9.60E+12,5.00E+11,LIR,9.60E+12,5.00E+11,9.60E+12,5.00E+11,LIR,Liao+24,2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...961..226L/abstract,Liao+24,2024,1,1,1,492.16,8.054585182,0.09691001301,0.07918124605,
X,M,CDFN2,"""""","""""",4.42,Vanilla,40338.1,SMG,ALMA,[CI]609um,0.9,0.1,1.38E+08,1.54E+07,500,50,0.35,0.03,,,1.70E+13,8.00E+11,LIR,1.70E+13,8.00E+11,1.70E+13,8.00E+11,LIR,Huber+25,2025,In prep.,Huber+25,2025,1,1,1,492.16,8.140813753,0.05115252245,0.04575749056,
