#Title: CHAOS IV: Gas-Phase Abundance Trends from the First Four CHAOS Galaxies 
#Authors: Berg D.A., Pogge R.W., Skillman E.D., Croxall K.V., Moustakas J.,
#        Rogers N.S.J., Sun J.
#--------------------------------------------------------------------------------
#   1- 19 A19    ---     Reg        NGC 3184 HII region slit ID (1)
# 136-140 F5.3   [-]     log(O/H)   Oxygen abundance, 12+log(O/H) 
# 142-146 F5.3   [-]   e_log(O/H)   Uncertainty in log(O/H) 
# 183-188 F6.3   [-]     log(N/O)   Nitrogen-to-oxygen abundance ratio, log 
# 190-194 F5.3   [-]   e_log(N/O)   Uncertainty in log(N/O) 
region               lgOH  e_lgOH  lgNO  e_lgNO
NGC3184+2.7-0.5      8.967 0.251  -0.500 0.279 
NGC3184-59.5-37.7    8.602 0.092  -0.591 0.118 
NGC3184+51.2+60.4    8.537 0.130  -0.576 0.166 
NGC3184-15.0-88.4    8.415 0.200  -0.443 0.264 
NGC3184-14.9-95.5    8.902 0.167  -0.998 0.222 
NGC3184-71.1+67.7    8.350 0.098  -0.617 0.128 
NGC3184-82.5+57.7    8.573 0.099  -0.756 0.129 
NGC3184+48.9+97.3    8.490 0.106  -0.769 0.149 
NGC3184+107.7-15.4   8.376 0.033  -0.711 0.043 
NGC3184-67.3+87.1    8.408 0.091  -0.687 0.119 
NGC3184+19.6-115.5   8.658 0.214  -0.834 0.290 
NGC3184+18.8-115.7   8.305 0.030  -0.685 0.040 
NGC3184+18.8-115.7   8.280 0.033  -0.670 0.042 
NGC3184+75.7+89.1    8.835 0.079  -0.894 0.098 
NGC3184-72.8+91.3    8.726 0.097  -0.892 0.123 
NGC3184+16.4+119.8   8.520 0.051  -0.864 0.083 
NGC3184+110.6-52.0   8.427 0.056  -0.785 0.075 
NGC3184-96.7+74.3    8.426 0.161  -0.899 0.203 
NGC3184+8.2-132.1    8.320 0.040  -0.767 0.054 
NGC3184+94.9-91.5    8.399 0.024  -0.718 0.030 
NGC3184+100.6+84.2   8.251 0.044  -0.787 0.057 
NGC3184+14.9-139.6   8.753 0.146  -1.010 0.217 
NGC3184+63.8+126.0   8.571 0.130  -0.980 0.181 
NGC3184+123.8+76.5   8.446 0.135  -0.904 0.182 
NGC3184+41.9+148.8   8.364 0.074  -0.988 0.101 
NGC3184+80.0-148.2   8.436 0.047  -0.906 0.070 
NGC3184-110.6-127.6  8.340 0.169  -0.903 0.240 
NGC3184-93.3-142.3   8.444 0.066  -0.972 0.105 
NGC3184-169.8-22.2   8.372 0.200  -1.002 0.276 
NGC3184-172.5-30.2   8.539 0.175  -1.125 0.276 
NGC628-35.9+57.7     8.52  0.04   -0.64  0.05
NGC628+49.8+48.7     8.64  0.04   -0.76  0.05
NGC628-73.1-27.3     8.37  0.02   -0.62  0.02
NGC628-76.2+22.9     8.40  0.08   -0.63  0.11
NGC628-36.8-73.4     8.43  0.04   -0.65  0.05
NGC628+68.5+53.4     8.32  0.05   -0.62  0.07
NGC628+81.6-32.3     8.62  0.03   -0.70  0.04
NGC628-68.5+61.7     8.67  0.09   -0.78  0.12
NGC628+76.9-49.6     8.74  0.14   -0.74  0.17
NGC628-13.1+107.5    8.59  0.01   -0.87  0.02
NGC628+53.5-104.0    8.47  0.13   -0.78  0.17
NGC628-35.7+119.6    8.73  0.03   -0.91  0.05
NGC628-20.3+124.6    8.63  0.01   -0.90  0.02
NGC628-59.6-111.6    8.58  0.04   -0.78  0.06
NGC628+61.2+113.5    8.73  0.03   -0.99  0.04
NGC628+42.6-120.7    8.62  0.06   -0.92  0.08
NGC628+131.9+18.5    8.56  0.02   -0.89  0.03
NGC628+125.4-62.4    8.64  0.11   -1.04  0.15
NGC628-130.9+71.8    8.55  0.02   -0.97  0.03
NGC628+131.7-70.2    8.57  0.05   -1.07  0.07
NGC628+151.0+22.3    8.61  0.07   -0.93  0.12
NGC628-157.9-0.3     8.45  0.09   -0.94  0.14
NGC628-24.5-155.6    8.62  0.06   -1.01  0.09
NGC628-129.8+94.7    8.57  0.05   -0.95  0.08
NGC628+140.3+82.0    8.35  0.03   -0.93  0.04
NGC628-42.8-158.2    8.54  0.03   -1.03  0.05
NGC628+147.9-71.8    8.55  0.11   -1.03  0.15
NGC628+163.5+64.4    8.65  0.08   -0.97  0.12
NGC628-4.5+185.6     8.39  0.03   -1.10  0.06
NGC628+176.7-50.0    8.41  0.08   -0.91  0.12
NGC628-76.2-171.8    8.63  0.05   -1.10  0.08
NGC628+31.6-191.1    8.55  0.13   -1.09  0.20
NGC628-200.6-4.2     8.53  0.10   -1.07  0.17
NGC628-184.7+83.4    8.63  0.01   -1.10  0.02
NGC628-206.5-25.7    8.60  0.05   -1.22  0.11
NGC628-90.1+190.2    8.56  0.01   -1.14  0.01
NGC628-168.2+150.8   8.27  0.01   -1.09  0.02
NGC628+232.7+6.6     8.58  0.07   -1.19  0.12
NGC628+237.6+3.0     8.58  0.10   -1.23  0.16
NGC628+254.3-42.8    8.39  0.04   -1.05  0.07
NGC628+252.1-92.1    8.24  0.06   -1.05  0.14
NGC628+261.9-99.7    8.21  0.09   -1.12  0.13
NGC628+265.2-102.2   8.10  0.07   -1.20  0.11
NGC628+289.9-17.4    8.33  0.02   -1.37  0.04
NGC628+298.4+12.3    8.30  0.02   -1.37  0.04
NGC5194-4.3+63.3     8.73  0.14   -0.43  0.16 
