 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,0.000, 1.500,  0.400,  -5.957, -7.153,  -5.570, -9.309, -9.461,  -9.315, -8.406,-11.794, -6.478, -7.921,  -3.428, -3.947, -4.298, -10.102,-10.577,-10.635,-13.844,-14.007,  -7.939, -7.469,  -8.870, -8.903, -5.651, -5.187, -7.452
 F,F,ok,0.000, 2.000,  0.400,  -5.139, -5.658,  -4.612, -8.929, -9.128,  -9.089, -8.132,-11.567, -4.679, -6.082,  -3.409, -3.926, -4.276,  -9.819,-10.294,-10.355,-13.560,-13.722,  -7.764, -7.295,  -8.174, -8.445, -5.619, -5.155, -5.356
 F,F,ok,0.000, 2.500,  0.400,  -4.960, -5.271,  -4.428, -8.613, -8.916,  -8.715, -7.660,-11.459, -3.816, -4.433,  -3.416, -3.927, -4.275,  -9.480, -9.955,-10.039,-13.360,-13.523,  -7.753, -7.284,  -7.909, -8.240, -5.615, -5.154, -4.386
 F,F,ok,0.000, 3.000,  0.400,  -4.976, -5.235,  -4.222, -8.298, -8.654,  -8.238, -7.147,-11.387, -3.381, -3.742,  -3.458, -3.956, -4.300,  -9.171, -9.646, -9.780,-13.254,-13.418,  -7.843, -7.373,  -8.074, -8.366, -5.648, -5.192, -3.978
 F,F,ok,0.000, 3.500,  0.400,  -5.046, -5.257,  -4.140, -8.070, -8.477,  -7.757, -6.640, -8.645, -3.156, -3.449,  -3.551, -4.031, -4.367,  -5.588, -6.063, -9.548, -7.094, -7.274,  -6.385, -5.915,  -6.100, -6.266, -5.737, -5.293, -3.751
 F,F,ok,0.000, 4.000,  0.400,  -5.019, -5.146,  -4.192, -7.874, -8.301,  -7.316, -6.320, -5.854, -3.012, -3.276,  -3.721, -4.185, -4.514,  -2.760, -3.235, -4.958, -3.587, -3.762,  -4.423, -3.953,  -4.323, -4.484, -5.920, -5.488, -3.554
 F,F,ok,0.000, 4.500,  0.400,  -2.586, -2.840,  -1.899, -5.972, -6.387,  -7.073, -6.042, -5.516, -2.875, -3.086,  -3.306, -3.872, -4.238,  -1.998, -2.474, -3.236, -1.419, -1.585,  -2.453, -1.980,  -2.556, -2.700, -5.632, -5.109, -2.724
 F,F,ok,0.000, 5.000,  0.400,  -4.751, -4.789,  -3.674, -8.413, -8.818,  -9.432, -8.141, -8.192, -1.126, -1.275,  -3.677, -4.275, -4.668,  -1.329, -1.808, -2.316, -3.913, -4.073,  -4.925, -4.453,  -5.059, -5.189, -6.090, -5.583, -1.814
 F,F,ok,0.250, 1.500,  0.400,  -5.740, -6.877,  -5.363, -9.055, -9.214,  -9.054, -8.152,-11.531, -6.235, -7.676,  -3.177, -3.696, -4.047,  -9.849,-10.324,-10.384,-13.594,-13.755,  -7.688, -7.218,  -8.623, -8.648, -5.400, -4.936, -7.208
 F,F,ok,0.250, 2.000,  0.400,  -4.924, -5.354,  -4.400, -8.669, -8.880,  -8.811, -7.866,-11.285, -4.438, -5.827,  -3.157, -3.674, -4.024,  -9.561,-10.036,-10.098,-13.307,-13.467,  -7.511, -7.042,  -7.919, -8.186, -5.367, -4.903, -5.113
 F,F,ok,0.250, 2.500,  0.400,  -4.746, -4.983,  -4.224, -8.391, -8.723,  -8.454, -7.408,-11.188, -3.572, -4.180,  -3.166, -3.677, -4.025,  -9.203, -9.678, -9.766,-13.110,-13.271,  -7.499, -7.030,  -7.660, -7.988, -5.365, -4.904, -4.138
 F,F,ok,0.250, 3.000,  0.400,  -4.751, -4.960,  -4.011, -8.124, -8.532,  -7.984, -6.897,-11.113, -3.135, -3.491,  -3.208, -3.706, -4.050,  -8.889, -9.364, -9.501,-13.004,-13.167,  -7.589, -7.119,  -7.825, -8.114, -5.398, -4.942, -3.729
 F,F,ok,0.250, 3.500,  0.400,  -4.811, -4.992,  -3.916, -7.933, -8.414,  -7.507, -6.391, -8.396, -2.909, -3.198,  -3.301, -3.781, -4.117,  -5.337, -5.813, -9.273, -6.845, -7.023,  -6.135, -5.665,  -5.850, -6.016, -5.487, -5.043, -3.502
 F,F,ok,0.250, 4.000,  0.400,  -4.780, -4.888,  -3.960, -7.743, -8.253,  -7.051, -6.054, -5.588, -2.766, -3.025,  -3.470, -3.935, -4.264,  -2.510, -2.985, -4.707, -3.336, -3.511,  -4.172, -3.702,  -4.071, -4.231, -5.670, -5.238, -3.304
 F,F,ok,0.250, 4.500,  0.400,  -2.440, -2.589,  -1.696, -5.851, -6.345,  -6.824, -5.792, -5.267, -2.631, -2.835,  -3.057, -3.622, -3.989,  -1.747, -2.223, -2.986, -1.169, -1.335,  -2.204, -1.731,  -2.306, -2.450, -5.381, -4.857, -2.473
 F,F,ok,0.250, 5.000,  0.400,  -4.523, -4.541,  -3.465, -8.313, -8.795,  -9.207, -7.936, -7.951, -0.893, -1.026,  -3.434, -4.031, -4.424,  -1.079, -1.558, -2.065, -3.663, -3.823,  -4.676, -4.203,  -4.819, -4.949, -5.840, -5.333, -1.571
 F,F,ok,0.500, 1.500,  0.400,  -5.545, -6.602,  -5.181, -8.805, -8.974,  -8.790, -7.898,-11.263, -5.996, -7.432,  -2.925, -3.445, -3.796,  -9.597,-10.071,-10.133,-13.346,-13.503,  -7.437, -6.968,  -8.380, -8.391, -5.148, -4.684, -6.966
 F,F,ok,0.500, 2.000,  0.400,  -4.737, -5.049,  -4.217, -8.418, -8.649,  -8.545, -7.614,-11.015, -4.202, -5.567,  -2.906, -3.424, -3.774,  -9.298, -9.773, -9.838,-13.059,-13.214,  -7.259, -6.790,  -7.671, -7.929, -5.116, -4.653, -4.873
 F,F,ok,0.500, 2.500,  0.400,  -4.555, -4.689,  -4.045, -8.187, -8.564,  -8.193, -7.158,-10.915, -3.331, -3.925,  -2.915, -3.427, -3.775,  -8.913, -9.388, -9.484,-12.860,-13.019,  -7.247, -6.778,  -7.411, -7.733, -5.115, -4.654, -3.892
 F,F,ok,0.500, 3.000,  0.400,  -4.543, -4.676,  -3.822, -7.977, -8.455,  -7.729, -6.647,-10.839, -2.891, -3.238,  -2.958, -3.456, -3.800,  -8.592, -9.067, -9.210,-12.755,-12.915,  -7.336, -6.866,  -7.576, -7.862, -5.148, -4.692, -3.482
 F,F,ok,0.500, 3.500,  0.400,  -4.588, -4.720,  -3.710, -7.822, -8.393,  -7.257, -6.143, -8.148, -2.663, -2.947,  -3.051, -3.531, -3.867,  -5.087, -5.563, -8.987, -6.595, -6.773,  -5.886, -5.416,  -5.601, -5.765, -5.237, -4.793, -3.254
 F,F,ok,0.500, 4.000,  0.400,  -4.551, -4.630,  -3.745, -7.644, -8.250,  -6.810, -5.813, -5.347, -2.520, -2.774,  -3.221, -3.685, -4.014,  -2.260, -2.735, -4.457, -3.087, -3.262,  -3.925, -3.455,  -3.823, -3.983, -5.420, -4.988, -3.055
