 freq,	    tau,          Transmission
    1.00000E+00,   3.33506E-03,   9.96670E-01
    1.10000E+00,   3.37314E-03,   9.96633E-01
    1.20000E+00,   3.40307E-03,   9.96603E-01
    1.30000E+00,   3.42729E-03,   9.96579E-01
    1.40000E+00,   3.44722E-03,   9.96559E-01
    1.50000E+00,   3.46387E-03,   9.96542E-01
    1.60000E+00,   3.47814E-03,   9.96528E-01
    1.70000E+00,   3.49042E-03,   9.96516E-01
    1.80000E+00,   3.50122E-03,   9.96505E-01
    1.90000E+00,   3.51083E-03,   9.96495E-01
    2.00000E+00,   3.51956E-03,   9.96487E-01
    2.10000E+00,   3.52750E-03,   9.96479E-01
    2.20000E+00,   3.53476E-03,   9.96471E-01
    2.30000E+00,   3.54163E-03,   9.96465E-01
    2.40000E+00,   3.54812E-03,   9.96458E-01
    2.50000E+00,   3.55423E-03,   9.96452E-01
    2.60000E+00,   3.56019E-03,   9.96446E-01
    2.70000E+00,   3.56589E-03,   9.96440E-01
    2.80000E+00,   3.57144E-03,   9.96435E-01
    2.90000E+00,   3.57691E-03,   9.96429E-01
    3.00000E+00,   3.58231E-03,   9.96424E-01
    3.10000E+00,   3.58762E-03,   9.96419E-01
    3.20000E+00,   3.59285E-03,   9.96414E-01
    3.30000E+00,   3.59820E-03,   9.96408E-01
    3.40000E+00,   3.60346E-03,   9.96403E-01
    3.50000E+00,   3.60875E-03,   9.96398E-01
    3.60000E+00,   3.61396E-03,   9.96393E-01
    3.70000E+00,   3.61939E-03,   9.96387E-01
    3.80000E+00,   3.62475E-03,   9.96382E-01
    3.90000E+00,   3.63022E-03,   9.96376E-01
    4.00000E+00,   3.63573E-03,   9.96371E-01
    4.10000E+00,   3.64125E-03,   9.96365E-01
    4.20000E+00,   3.64690E-03,   9.96360E-01
    4.30000E+00,   3.65268E-03,   9.96354E-01
    4.40000E+00,   3.65848E-03,   9.96348E-01
    4.50000E+00,   3.66442E-03,   9.96342E-01
    4.60000E+00,   3.67048E-03,   9.96336E-01
    4.70000E+00,   3.67657E-03,   9.96330E-01
    4.80000E+00,   3.68279E-03,   9.96324E-01
    4.90000E+00,   3.68913E-03,   9.96318E-01
    5.00000E+00,   3.69551E-03,   9.96311E-01
    5.10000E+00,   3.70202E-03,   9.96305E-01
    5.20000E+00,   3.70864E-03,   9.96298E-01
    5.30000E+00,   3.71539E-03,   9.96292E-01
    5.40000E+00,   3.72227E-03,   9.96285E-01
    5.50000E+00,   3.72926E-03,   9.96278E-01
    5.60000E+00,   3.73626E-03,   9.96271E-01
    5.70000E+00,   3.74338E-03,   9.96264E-01
    5.80000E+00,   3.75069E-03,   9.96256E-01
    5.90000E+00,   3.75802E-03,   9.96249E-01
    6.00000E+00,   3.76546E-03,   9.96242E-01
    6.10000E+00,   3.77302E-03,   9.96234E-01
    6.20000E+00,   3.78070E-03,   9.96226E-01
    6.30000E+00,   3.78850E-03,   9.96219E-01
    6.40000E+00,   3.79635E-03,   9.96211E-01
    6.50000E+00,   3.80442E-03,   9.96203E-01
    6.60000E+00,   3.81258E-03,   9.96195E-01
    6.70000E+00,   3.82080E-03,   9.96186E-01
    6.80000E+00,   3.82926E-03,   9.96178E-01
    6.90000E+00,   3.83776E-03,   9.96170E-01
    7.00000E+00,   3.84650E-03,   9.96161E-01
    7.10000E+00,   3.85527E-03,   9.96152E-01
    7.20000E+00,   3.86419E-03,   9.96143E-01
    7.30000E+00,   3.87335E-03,   9.96134E-01
    7.40000E+00,   3.88257E-03,   9.96125E-01
    7.50000E+00,   3.89193E-03,   9.96116E-01
    7.60000E+00,   3.90152E-03,   9.96106E-01
    7.70000E+00,   3.91118E-03,   9.96096E-01
    7.80000E+00,   3.92099E-03,   9.96087E-01
    7.90000E+00,   3.93105E-03,   9.96077E-01
    8.00000E+00,   3.94116E-03,   9.96067E-01
    8.10000E+00,   3.95145E-03,   9.96056E-01
    8.20000E+00,   3.96188E-03,   9.96046E-01
    8.30000E+00,   3.97249E-03,   9.96035E-01
    8.40000E+00,   3.98337E-03,   9.96025E-01
    8.50000E+00,   3.99434E-03,   9.96014E-01
    8.60000E+00,   4.00550E-03,   9.96003E-01
    8.70000E+00,   4.01689E-03,   9.95991E-01
    8.80000E+00,   4.02866E-03,   9.95979E-01
    8.90000E+00,   4.04077E-03,   9.95967E-01
    9.00000E+00,   4.05376E-03,   9.95954E-01
    9.10000E+00,   4.06971E-03,   9.95939E-01
    9.20000E+00,   4.11726E-03,   9.95891E-01
    9.30000E+00,   4.09393E-03,   9.95914E-01
    9.40000E+00,   4.10268E-03,   9.95906E-01
    9.50000E+00,   4.11422E-03,   9.95894E-01
    9.60000E+00,   4.12678E-03,   9.95882E-01
    9.70000E+00,   4.13975E-03,   9.95869E-01
    9.80000E+00,   4.15324E-03,   9.95855E-01
    9.90000E+00,   4.16753E-03,   9.95841E-01
    1.00000E+01,   4.18310E-03,   9.95826E-01
    1.01000E+01,   4.20283E-03,   9.95806E-01
    1.02000E+01,   4.25171E-03,   9.95757E-01
    1.03000E+01,   4.23992E-03,   9.95769E-01
    1.04000E+01,   4.24120E-03,   9.95768E-01
    1.05000E+01,   4.25231E-03,   9.95757E-01
    1.06000E+01,   4.26750E-03,   9.95742E-01
    1.07000E+01,   4.28025E-03,   9.95729E-01
    1.08000E+01,   4.29573E-03,   9.95713E-01
    1.09000E+01,   4.31439E-03,   9.95695E-01
    1.10000E+01,   4.34444E-03,   9.95665E-01
    1.11000E+01,   4.38695E-03,   9.95623E-01
    1.12000E+01,   4.36375E-03,   9.95646E-01
