# Table 1 from Verner & Ferland 1996, ApJS, 103, 467
# 
El Ion Z Ne    a           b       T0         T1
H  1   1  1  7.982E-11  0.7480  3.148E+00  7.036E+05
He 1   2  2  9.356E-10  0.7892  4.266E-02  4.677E+06
He 2   2  1  1.891E-10  0.7524  9.370E+00  2.774E+06
Li 1   3  3  1.036E-11  0.3880  1.077E+02  1.177E+07
Li 2   3  2  1.112E-10  0.6926  2.437E+01  8.323E+06
Li 3   3  1  3.039E-10  0.7539  1.871E+01  6.209E+06
Be 2   4  3  2.338E-11  0.4211  3.647E+02  1.215E+07
Be 3   4  2  1.317E-10  0.6691  8.473E+01  1.412E+07
Be 4   4  1  4.290E-10  0.7557  3.000E+01  1.093E+07
B  3   5  3  4.487E-11  0.4644  5.371E+02  1.465E+07
B  4   5  2  1.922E-10  0.6717  1.272E+02  1.975E+07
B  5   5  1  5.437E-10  0.7560  4.576E+01  1.706E+07
C  4   6  3  8.540E-11  0.5247  5.014E+02  1.479E+07
C  5   6  2  2.765E-10  0.6858  1.535E+02  2.556E+07
C  6   6  1  6.556E-10  0.7567  6.523E+01  2.446E+07
N  5   7  3  1.169E-10  0.5470  6.793E+02  1.650E+07
N  6   7  2  3.910E-10  0.6988  1.611E+02  3.271E+07
N  7   7  1  7.586E-10  0.7563  9.015E+01  3.338E+07
O  6   8  3  2.053E-10  0.6019  4.772E+02  1.711E+07
O  7   8  2  4.897E-10  0.7048  1.906E+02  4.093E+07
O  8   8  1  8.616E-10  0.7563  1.191E+02  4.352E+07
F  7   9  3  2.739E-10  0.6188  5.033E+02  2.064E+07
F  8   9  2  5.602E-10  0.7052  2.476E+02  5.077E+07
F  9   9  1  9.712E-10  0.7566  1.499E+02  5.498E+07
Ne 8  10  3  3.200E-10  0.6198  6.329E+02  2.616E+07
Ne 9  10  2  6.161E-10  0.7029  3.274E+02  6.243E+07
Ne 10 10  1  1.085E-09  0.7570  1.834E+02  6.776E+07
Na 1  11 11  5.641E-12  0.1749  3.077E+02  2.617E+06
Na 9  11  3  3.873E-10  0.6295  7.000E+02  2.989E+07
Na 10 11  2  6.833E-10  0.7018  4.060E+02  7.491E+07
Na 11 11  1  1.163E-09  0.7558  2.328E+02  8.262E+07
Mg 2  12 11  1.920E-11  0.3028  4.849E+02  5.890E+06
Mg 10 12  3  4.284E-10  0.6287  8.748E+02  3.586E+07
Mg 11 12  2  7.510E-10  0.7020  4.921E+02  8.643E+07
Mg 12 12  1  1.317E-09  0.7574  2.585E+02  9.769E+07
Al 3  13 11  3.753E-11  0.3585  6.848E+02  9.035E+06
Al 11 13  3  4.881E-10  0.6326  9.941E+02  4.085E+07
Al 12 13  2  8.182E-10  0.7008  5.875E+02  1.007E+08
Al 13 13  1  1.419E-09  0.7578  3.057E+02  1.143E+08
Si 4  14 11  5.942E-11  0.3930  8.962E+02  1.213E+07
Si 12 14  3  5.373E-10  0.6337  1.164E+03  4.677E+07
Si 13 14  2  8.722E-10  0.6996  7.098E+02  1.155E+08
Si 14 14  1  1.517E-09  0.7574  3.601E+02  1.329E+08
P  5  15 11  1.721E-10  0.5429  2.848E+02  3.975E+07
P  13 15  3  5.876E-10  0.6354  1.341E+03  5.292E+07
P  14 15  2  9.142E-10  0.6961  8.682E+02  1.335E+08
P  15 15  1  1.586E-09  0.7560  4.327E+02  1.534E+08
S  6  16 11  3.502E-10  0.6266  1.532E+02  1.755E+07
S  14 16  3  6.571E-10  0.6400  1.452E+03  5.796E+07
S  15 16  2  9.692E-10  0.6945  1.017E+03  1.517E+08
S  16 16  1  1.729E-09  0.7568  4.725E+02  1.746E+08
Cl 7  17 11  2.502E-10  0.5580  5.303E+02  4.558E+07
Cl 15 17  3  7.076E-10  0.6397  1.653E+03  6.555E+07
Cl 16 17  2  1.021E-09  0.6932  1.184E+03  1.695E+08
Cl 17 17  1  1.791E-09  0.7565  5.591E+02  1.972E+08
Ar 8  18 11  2.862E-10  0.5621  7.002E+02  4.885E+07
Ar 16 18  3  7.538E-10  0.6388  1.889E+03  7.306E+07
Ar 17 18  2  1.087E-09  0.6936  1.329E+03  1.880E+08
Ar 18 18  1  1.913E-09  0.7567  6.175E+02  2.212E+08
K  9  19 11  2.757E-10  0.5364  1.204E+03  7.013E+07
K  17 19  3  8.182E-10  0.6411  2.044E+03  8.057E+07
K  18 19  2  1.145E-09  0.6921  1.503E+03  2.098E+08
K  19 19  1  2.033E-09  0.7569  6.797E+02  2.463E+08
Ca 10 20 11  5.273E-10  0.6281  5.329E+02  3.188E+07
Ca 18 20  3  8.577E-10  0.6403  2.334E+03  8.850E+07
Ca 19 20  2  1.179E-09  0.6893  1.757E+03  2.344E+08
Ca 20 20  1  2.129E-09  0.7570  7.591E+02  2.739E+08
Sc 11 21 11  3.890E-10  0.5645  1.391E+03  6.295E+07
Sc 19 21  3  9.162E-10  0.6413  2.543E+03  9.690E+07
Sc 20 21  2  1.265E-09  0.6902  1.877E+03  2.555E+08
Sc 21 21  1  2.262E-09  0.7578  8.186E+02  3.000E+08
Ti 12 22 11  4.207E-10  0.5646  1.688E+03  6.872E+07
Ti 20 22  3  9.844E-10  0.6440  2.708E+03  1.044E+08
Ti 21 22  2  1.322E-09  0.6885  2.092E+03  2.829E+08
Ti 22 22  1  2.370E-09  0.7574  9.002E+02  3.307E+08
V  13 23 11  4.605E-10  0.5659  1.949E+03  7.419E+07
V  21 23  3  1.020E-09  0.6427  3.057E+03  1.140E+08
V  22 23  2  1.375E-09  0.6885  2.321E+03  3.056E+08
V  23 23  1  2.415E-09  0.7565  1.032E+03  3.635E+08
Cr 13 24 11  4.975E-10  0.5655  2.257E+03  8.072E+07
Cr 22 24  3  1.091E-09  0.6445  3.225E+03  1.229E+08
Cr 23 24  2  1.422E-09  0.6874  2.589E+03  3.336E+08
Cr 24 24  1  2.537E-09  0.7571  1.108E+03  3.954E+08
Mn 15 25 11  5.349E-10  0.5658  2.577E+03  8.710E+07
Mn 23 25  3  1.151E-09  0.6451  3.461E+03  1.334E+08
Mn 24 25  2  1.488E-09  0.6867  2.802E+03  3.623E+08
Mn 25 25  1  2.618E-09  0.7565  1.225E+03  4.307E+08
Fe 16 26 11  7.688E-10  0.6173  1.653E+03  6.161E+07
Fe 24 26  3  1.198E-09  0.6443  3.789E+03  1.437E+08
Fe 25 26  2  1.542E-09  0.6859  3.073E+03  3.926E+08
Fe 26 26  1  2.735E-09  0.7568  1.314E+03  4.659E+08
Co 17 27 11  5.850E-10  0.5598  3.538E+03  1.052E+08
Co 25 27  3  1.211E-09  0.6406  4.357E+03  1.572E+08
Co 26 27  2  1.589E-09  0.6846  3.373E+03  4.267E+08
Co 27 27  1  2.809E-09  0.7565  1.444E+03  5.042E+08
Ni 18 28 11  6.347E-10  0.5631  3.780E+03  1.116E+08
Ni 26 28  3  1.288E-09  0.6440  4.506E+03  1.651E+08
Ni 27 28  2  1.676E-09  0.6861  3.530E+03  4.538E+08
Ni 28 28  1  3.002E-09  0.7581  1.467E+03  5.409E+08
Cu 19 29 11  6.619E-10  0.5602  4.322E+03  1.210E+08
Cu 27 29  3  1.372E-09  0.6472  4.627E+03  1.740E+08
Cu 28 29  2  1.686E-09  0.6824  4.031E+03  4.948E+08
Cu 29 29  1  3.022E-09  0.7564  1.666E+03  5.855E+08
Zn 20 30 11  7.002E-10  0.5612  4.726E+03  1.287E+08
Zn 28 30  3  1.412E-09  0.6454  5.053E+03  1.891E+08
Zn 29 30  2  1.758E-09  0.6834  4.254E+03  5.258E+08
Zn 30 30  1  3.127E-09  0.7567  1.779E+03  6.246E+08
